time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
211,2,0,21,0,0.2100
212,2,0,21,0,0.2100
213,3,0,21,0,0.2100
214,3,0,21,0,0.2100
215,4,0,21,0,0.2100
216,4,0,21,0,0.2100
217,4,0,21,0,0.2100
218,4,0,21,0,0.2100
219,4,0,21,0,0.2100
220,4,0,21,0,0.2100
221,4,0,21,0,0.2100
222,4,0,21,0,0.2100
223,4,0,21,0,0.2100
224,4,0,21,0,0.2100
225,4,0,21,0,0.2100
226,4,0,21,0,0.2100
227,4,0,21,0,0.2100
228,4,0,21,0,0.2100
229,4,0,21,0,0.2100
230,3,0,22,0,0.2200
231,3,0,22,0,0.2200
232,2,0,23,0,0.2300
233,2,0,23,0,0.2300
234,2,0,23,0,0.2300
235,1,0,24,0,0.2400
236,0,0,25,0,0.2500
237,0,0,25,0,0.2500
238,1,0,25,0,0.2500
239,1,0,25,0,0.2500
240,1,0,25,0,0.2500
241,1,0,25,0,0.2500
242,1,0,25,0,0.2500
243,1,0,25,0,0.2500
244,1,0,25,0,0.2500
245,1,0,25,0,0.2500
246,1,0,25,0,0.2500
247,1,0,25,0,0.2500
248,1,0,25,0,0.2500
249,1,0,25,0,0.2500
250,1,0,25,0,0.2500
251,1,0,25,0,0.2500
252,1,0,25,0,0.2500
253,1,0,25,0,0.2500
254,1,0,25,0,0.2500
255,1,0,25,0,0.2500
256,1,0,25,0,0.2500
257,1,0,25,0,0.2500
258,2,0,25,0,0.2500
259,2,0,25,0,0.2500
260,2,0,25,0,0.2500
261,2,0,25,0,0.2500
262,2,0,25,0,0.2500
263,2,0,25,0,0.2500
264,2,0,25,0,0.2500
265,2,0,26,0,0.2600
266,2,0,26,0,0.2600
267,2,0,26,0,0.2600
268,2,0,26,0,0.2600
269,2,0,26,0,0.2600
270,2,0,26,0,0.2600
271,2,0,26,0,0.2600
272,2,0,26,0,0.2600
273,2,0,26,0,0.2600
274,2,0,26,0,0.2600
275,2,0,26,0,0.2600
276,2,0,26,0,0.2600
277,2,0,26,0,0.2600
278,2,0,26,0,0.2600
279,2,0,26,0,0.2600
280,2,0,26,0,0.2600
281,2,0,26,0,0.2600
282,1,0,27,0,0.2700
283,1,0,27,0,0.2700
284,1,0,27,0,0.2700
285,1,0,27,0,0.2700
286,1,0,27,0,0.2700
287,1,0,27,0,0.2700
288,1,0,27,0,0.2700
289,1,0,27,0,0.2700
290,1,0,27,0,0.2700
291,1,0,27,0,0.2700
292,1,0,27,0,0.2700
293,0,0,28,0,0.2800
294,0,0,28,0,0.2800
295,0,0,28,0,0.2800
296,0,0,28,0,0.2800
297,0,0,28,0,0.2800
298,0,0,28,0,0.2800
299,0,0,28,0,0.2800
300,0,0,28,0,0.2800
301,0,0,28,0,0.2800
302,0,0,28,0,0.2800
303,1,0,28,0,0.2800
304,1,0,28,0,0.2800
305,1,0,28,0,0.2800
306,1,0,28,0,0.2800
307,1,0,28,0,0.2800
308,2,0,28,0,0.2800
309,2,0,28,0,0.2800
310,2,0,28,0,0.2800
311,2,0,28,0,0.2800
312,2,0,28,0,0.2800
313,2,0,28,0,0.2800
314,2,0,28,0,0.2800
315,2,0,28,0,0.2800
316,2,0,28,0,0.2800
317,2,0,28,0,0.2800
318,2,0,28,0,0.2800
319,2,0,28,0,0.2800
320,2,0,28,0,0.2800
321,2,0,28,0,0.2800
322,2,0,28,0,0.2800
323,2,0,28,0,0.2800
324,2,0,28,0,0.2800
325,2,0,28,0,0.2800
326,2,0,29,0,0.2900
327,2,0,29,0,0.2900
328,2,0,29,0,0.2900
329,2,0,29,0,0.2900
330,3,0,29,0,0.2900
331,3,0,29,0,0.2900
332,3,0,29,0,0.2900
333,3,0,29,0,0.2900
334,3,0,29,0,0.2900
335,3,0,29,0,0.2900
336,3,0,29,0,0.2900
337,3,0,29,0,0.2900
338,2,0,30,0,0.3000
339,2,0,30,0,0.3000
340,2,0,30,0,0.3000
341,2,0,30,0,0.3000
342,2,0,30,0,0.3000
343,2,0,30,0,0.3000
344,2,0,30,0,0.3000
345,2,0,30,0,0.3000
346,2,0,30,0,0.3000
347,2,0,30,0,0.3000
348,2,0,30,0,0.3000
349,1,0,31,0,0.3100
350,1,0,31,0,0.3100
351,0,0,32,0,0.3200
352,0,0,32,0,0.3200
353,0,0,32,0,0.3200
354,0,0,32,0,0.3200
355,0,0,32,0,0.3200
356,0,0,32,0,0.3200
357,0,0,32,0,0.3200
358,0,0,32,0,0.3200
359,1,0,32,0,0.3200
360,1,0,32,0,0.3200
361,1,0,32,0,0.3200
362,1,0,32,0,0.3200
363,1,0,32,0,0.3200
364,1,0,32,0,0.3200
365,2,0,32,0,0.3200
366,2,0,32,0,0.3200
367,2,0,32,0,0.3200
368,2,0,32,0,0.3200
369,2,0,32,0,0.3200
370,2,0,32,0,0.3200
371,2,0,32,0,0.3200
372,2,0,32,0,0.3200
373,2,0,32,0,0.3200
374,2,0,32,0,0.3200
375,2,0,32,0,0.3200
376,2,0,32,0,0.3200
377,2,0,32,0,0.3200
378,2,0,32,0,0.3200
379,2,0,32,0,0.3200
380,2,0,32,0,0.3200
381,2,0,32,0,0.3200
382,2,0,32,0,0.3200
383,2,0,32,0,0.3200
384,2,0,32,0,0.3200
385,2,0,32,0,0.3200
386,1,0,33,0,0.3300
387,1,0,33,0,0.3300
388,1,0,33,0,0.3300
389,1,0,33,0,0.3300
390,1,0,33,0,0.3300
391,0,0,34,0,0.3400
392,0,0,34,0,0.3400
393,1,0,34,0,0.3400
394,1,0,34,0,0.3400
395,1,0,34,0,0.3400
396,1,0,34,0,0.3400
397,1,0,34,0,0.3400
398,1,0,34,0,0.3400
399,1,0,34,0,0.3400
400,1,0,34,0,0.3400
401,1,0,34,0,0.3400
402,1,0,34,0,0.3400
403,1,0,34,0,0.3400
404,1,0,34,0,0.3400
405,1,0,34,0,0.3400
406,1,0,34,0,0.3400
407,1,0,34,0,0.3400
408,1,0,34,0,0.3400
409,1,0,34,0,0.3400
410,1,0,34,0,0.3400
411,1,0,34,0,0.3400
412,2,0,34,0,0.3400
413,2,0,34,0,0.3400
414,2,0,34,0,0.3400
415,2,0,34,0,0.3400
416,2,0,34,0,0.3400
417,2,0,34,0,0.3400
